signal_threshold,stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct,net_pnl_pct,net_expectancy_pct,net_profit_factor
50.0,4.0,1.5,2.5,4.5,0.4,3600,0.2,148,81.8,47.11,0.32,1.44,0.318,12.0,35.27,0.238,1.32
45.0,4.0,1.5,2.5,3.0,0.4,1200,0.2,238,81.9,75.5,0.32,1.45,0.317,21.43,56.46,0.237,1.33
50.0,4.0,1.5,2.5,4.5,0.4,14400,0.8,148,81.1,46.89,0.33,1.43,0.317,12.0,35.05,0.237,1.32
45.0,4.0,1.5,2.5,4.5,0.6,7200,0.8,244,80.3,77.17,0.36,1.48,0.316,19.42,57.65,0.236,1.35
50.0,4.0,1.5,2.5,4.5,0.4,3600,0.4,150,81.3,47.35,0.33,1.44,0.316,12.0,35.35,0.236,1.32
40.0,4.0,1.5,2.5,3.0,0.4,,0.4,297,81.5,93.65,0.32,1.43,0.315,21.43,69.89,0.235,1.31
55.0,4.0,1.5,2.5,4.5,0.4,3600,0.8,103,80.6,32.45,0.36,1.49,0.315,12.02,24.21,0.235,1.36
40.0,4.0,1.5,2.5,4.5,0.4,7200,0.2,298,81.5,93.5,0.32,1.42,0.314,21.26,69.66,0.234,1.31
40.0,4.0,1.5,2.5,4.5,0.4,7200,0.4,298,81.5,93.5,0.32,1.42,0.314,21.26,69.66,0.234,1.31
45.0,4.0,1.5,2.5,3.0,0.6,7200,0.8,245,80.4,76.84,0.36,1.48,0.314,19.53,57.24,0.234,1.35
45.0,4.0,1.5,2.5,4.5,0.6,3600,0.2,233,82.4,73.15,0.31,1.45,0.314,19.42,54.51,0.234,1.33
45.0,4.0,1.5,2.5,4.5,0.6,3600,0.4,233,82.4,73.15,0.31,1.45,0.314,19.42,54.51,0.234,1.33
50.0,4.0,1.5,2.5,3.0,0.4,7200,0.2,148,81.8,46.53,0.32,1.43,0.314,12.0,34.7,0.234,1.31
50.0,4.0,1.5,2.5,3.0,0.4,7200,0.4,148,81.8,46.53,0.32,1.43,0.314,12.0,34.7,0.234,1.31
55.0,4.0,1.5,2.5,4.5,0.4,1200,0.8,115,73.0,36.08,0.62,1.69,0.314,14.07,26.88,0.234,1.49
