signal_threshold,stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct,net_pnl_pct,net_expectancy_pct,net_profit_factor
45.0,5.0,1.5,2.5,3.0,0.4,3600,0.2,111,89.2,57.44,0.25,2.04,0.517,9.98,48.56,0.438,1.87
45.0,5.0,1.5,2.5,4.5,0.4,3600,0.2,111,89.2,57.44,0.25,2.04,0.517,9.98,48.56,0.438,1.87
45.0,5.0,1.5,2.5,3.0,0.4,14400,0.4,110,88.2,56.86,0.27,2.03,0.517,10.18,48.06,0.437,1.85
45.0,5.0,1.5,2.5,4.5,0.4,14400,0.4,110,88.2,56.86,0.27,2.03,0.517,10.18,48.06,0.437,1.85
45.0,5.0,1.5,2.5,3.0,0.8,14400,0.2,115,91.3,58.91,0.21,2.18,0.512,9.54,49.71,0.432,1.98
45.0,5.0,1.5,2.5,4.5,0.8,14400,0.2,115,91.3,58.79,0.21,2.18,0.511,9.54,49.59,0.431,1.98
45.0,5.0,1.0,1.5,3.0,0.8,,0.4,114,91.2,58.11,0.21,2.16,0.51,9.33,48.99,0.43,1.96
50.0,5.0,1.5,2.5,4.5,0.8,14400,0.2,74,90.5,37.63,0.22,2.08,0.509,11.26,31.71,0.429,1.89
50.0,5.0,1.5,2.5,4.5,0.8,14400,0.4,74,90.5,37.63,0.22,2.08,0.509,11.26,31.71,0.429,1.89
45.0,5.0,1.5,2.5,3.0,0.6,2400,0.2,116,89.7,58.93,0.25,2.18,0.508,9.34,49.65,0.428,1.97
45.0,5.0,1.5,2.5,4.5,0.6,2400,0.2,116,89.7,58.93,0.25,2.18,0.508,9.34,49.65,0.428,1.97
50.0,5.0,1.5,2.5,3.0,0.6,3600,0.2,77,90.9,39.07,0.21,2.12,0.507,11.04,32.91,0.427,1.93
50.0,5.0,1.5,2.5,3.0,0.8,14400,0.2,74,90.5,37.54,0.22,2.07,0.507,11.26,31.62,0.427,1.89
50.0,5.0,1.5,2.5,3.0,0.8,14400,0.4,74,90.5,37.54,0.22,2.07,0.507,11.26,31.62,0.427,1.89
50.0,5.0,1.5,2.5,4.5,0.6,3600,0.2,77,90.9,39.07,0.21,2.12,0.507,11.04,32.91,0.427,1.93
45.0,5.0,1.0,1.5,4.5,0.8,,0.4,114,91.2,57.67,0.21,2.15,0.506,9.33,48.55,0.426,1.96
45.0,5.0,1.5,2.5,3.0,0.8,14400,0.4,116,90.5,58.7,0.23,2.17,0.506,9.54,49.42,0.426,1.97
45.0,5.0,1.5,2.5,4.5,0.8,14400,0.4,116,90.5,58.58,0.23,2.17,0.505,9.54,49.3,0.425,1.97
50.0,5.0,1.0,2.5,3.0,0.4,,0.4,73,90.4,36.79,0.22,2.05,0.504,11.61,30.95,0.424,1.87
50.0,5.0,1.0,2.5,4.5,0.4,,0.4,73,90.4,36.79,0.22,2.05,0.504,11.61,30.95,0.424,1.87
50.0,5.0,1.5,2.5,3.0,0.6,7200,0.2,77,90.9,38.84,0.21,2.11,0.504,11.29,32.68,0.424,1.92
